Date : 2025-03-12 12:29:22
Directory : c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib
Total : 156 files,  4709 codes, 944 comments, 796 blanks, all 6449 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        156 |      4,709 |        944 |        796 |      6,449 |
+----------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                 | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                    |        156 |      4,709 |        944 |        796 |      6,449 |
| . (Files)                                                                                                                                            |          4 |        189 |         78 |         34 |        301 |
| Components                                                                                                                                           |          8 |        944 |        211 |         69 |      1,224 |
| Components (Files)                                                                                                                                   |          6 |        564 |        110 |         46 |        720 |
| Components\button                                                                                                                                    |          1 |        126 |         62 |          9 |        197 |
| Components\modal                                                                                                                                     |          1 |        254 |         39 |         14 |        307 |
| Constants                                                                                                                                            |         23 |        633 |        113 |         83 |        829 |
| Constants (Files)                                                                                                                                    |          5 |         57 |         19 |         18 |         94 |
| Constants\Enums                                                                                                                                      |         18 |        576 |         94 |         65 |        735 |
| Constants\Enums (Files)                                                                                                                              |          8 |        232 |         64 |         29 |        325 |
| Constants\Enums\direct-written-db                                                                                                                    |         10 |        344 |         30 |         36 |        410 |
| Constants\Enums\direct-written-db\Database                                                                                                           |         10 |        344 |         30 |         36 |        410 |
| Constants\Enums\direct-written-db\Database\esp-jap-kotobank                                                                                          |         10 |        344 |         30 |         36 |        410 |
| DI                                                                                                                                                   |          1 |        176 |         75 |         33 |        284 |
| Provider                                                                                                                                             |          1 |          5 |          0 |          2 |          7 |
| _Business_Rule                                                                                                                                       |         68 |        645 |         72 |        199 |        916 |
| _Business_Rule\Usecase                                                                                                                               |         45 |        446 |         51 |        144 |        641 |
| _Business_Rule\Usecase\fetch_conjugation                                                                                                             |          6 |         42 |          1 |         19 |         62 |
| _Business_Rule\Usecase\fetch_dictionary                                                                                                              |          6 |         42 |          1 |         18 |         61 |
| _Business_Rule\Usecase\load_my_word                                                                                                                  |          6 |         43 |          1 |         26 |         70 |
| _Business_Rule\Usecase\load_rankings                                                                                                                 |          6 |        111 |         24 |         21 |        156 |
| _Business_Rule\Usecase\locate_ranking_pagenation                                                                                                     |          5 |         31 |          0 |          9 |         40 |
| _Business_Rule\Usecase\search_word                                                                                                                   |          5 |         43 |          5 |         15 |         63 |
| _Business_Rule\Usecase\update_ranking_filter                                                                                                         |          5 |         73 |         19 |         18 |        110 |
| _Business_Rule\Usecase\update_status                                                                                                                 |          6 |         61 |          0 |         18 |         79 |
| _Business_Rule\_Domain                                                                                                                               |         23 |        199 |         21 |         55 |        275 |
| _Business_Rule\_Domain\Entities                                                                                                                      |         14 |        157 |         19 |         34 |        210 |
| _Business_Rule\_Domain\Entities (Files)                                                                                                              |          3 |         42 |          0 |          7 |         49 |
| _Business_Rule\_Domain\Entities\dictionary                                                                                                           |          8 |         82 |          0 |         15 |         97 |
| _Business_Rule\_Domain\Entities\dictionary (Files)                                                                                                   |          1 |         18 |          0 |          3 |         21 |
| _Business_Rule\_Domain\Entities\dictionary\sub                                                                                                       |          7 |         64 |          0 |         12 |         76 |
| _Business_Rule\_Domain\Entities\dictionary\sub (Files)                                                                                               |          1 |          9 |          0 |          2 |         11 |
| _Business_Rule\_Domain\Entities\dictionary\sub\example                                                                                               |          3 |         28 |          0 |          5 |         33 |
